variant,window,center_jitter,peak_recenter,mode,train_accuracy,test_accuracy,macro_f1,gap
rf_window-sweep,40,2,False,single_window,1.0,0.8409090909090909,0.8502596905071607,0.15909090909090906
rf_window-sweep,36,-2,False,single_window,1.0,0.8352272727272727,0.843726069875617,0.1647727272727273
rf_window-sweep,40,-2,False,single_window,1.0,0.8333333333333334,0.8412367999669215,0.16666666666666663
rf_window-sweep,32,2,False,single_window,1.0,0.8238636363636364,0.8382017998292849,0.17613636363636365
rf_window-sweep,36,2,False,single_window,1.0,0.8238636363636364,0.8374234961088768,0.17613636363636365
rf_baseline,32,0,False,single_window,1.0,0.821969696969697,0.836680256365566,0.17803030303030298
rf_window-sweep,32,0,False,single_window,1.0,0.821969696969697,0.836680256365566,0.17803030303030298
rf_window-sweep,32,-2,False,single_window,1.0,0.8181818181818182,0.8358343990075978,0.18181818181818177
rf_window-sweep,36,0,False,single_window,1.0,0.8257575757575758,0.8351868990195065,0.1742424242424242
rf_window-sweep,40,0,False,single_window,1.0,0.8200757575757576,0.8338956359589713,0.17992424242424243
