cluster,20260121_160212_unnamed,20260121_160342_unnamed,20260121_160439_unnamed,20260121_160602_unnamed,20260121_160745_we_are_the_champions,20260302_100832_underhand_default,20260302_171509_experimental_under-over-exp,20260302_173754_experimental_free,20260303_171447_experimental_oli,20260303_171847_experimental_jo,20260303_172052_experimental_oli,20260303_172356_experimental_jo,20260303_172529_experimental_jo,20260303_172739_experimental_jo,20260303_173008_experimental_oli,20260303_173116_experimental_oli,20260303_174607_underhand_jo,20260303_174743_underhand_oli,20260303_174948_overhand_oli,20260303_175338_overhand_jo,20260303_175458_dragon_roll_oli,20260303_175703_dragon_roll_jo,20260303_180712_sneak_underhand_jo,20260303_181059_sneak_overhand_oli,20260303_182528_sneak_overhand_jo,20260315_150630_experimental_jo,20260315_155448_experimental_jo,20260315_182722_experimental_jo,20260316_170025_experimental_oli,20260316_170310_experimental_oli,20260316_170613_experimental_jo,20260316_171050_experimental_oli,20260316_171550_experimental_jo,20260316_172228_experimental_jo,20260405_173949_experimental_progression,20260405_184437_experimental_bass-walk-down,20260405_184729_experimental_pachelbel,20260405_184905_experimental_pachelbel,20260405_184927_experimental_pachelbel,20260405_185105_experimental_pachelbel,20260405_185331_experimental_birth-death,20260405_185509_experimental_bass-walk-down,20260406_211811_experimental_jo div,20260406_212408_experimental_jo div,La_Dorset_2026-02-11_16-33-15,La_Native_2026-02-11_16-35-09,Ladoiska_2026-02-11_16-36-43,Les_Graces_2026-02-11_16-38-30,Les_Lanciers_2026-02-11_16-39-40,The_Countess_of_Farnham_s_Waltz_2026-02-11_16-41-47,dominant
0,0,0,0,0,0,0,1,10,0,10,0,0,2,9,0,0,0,0,0,0,0,0,0,0,20,7,15,8,0,0,2,0,7,0,0,0,12,9,1,0,0,0,28,29,0,0,0,0,0,0,20260406_212408_experimental_jo div
1,2,0,1,2,0,2,5,2,0,13,6,1,1,2,2,2,7,1,0,0,1,0,1,1,0,5,2,0,4,4,2,0,3,1,0,1,2,4,0,0,6,0,15,11,20,23,24,21,47,35,Les_Lanciers_2026-02-11_16-39-40
2,2,5,0,3,4,10,0,13,2,8,6,6,3,11,2,3,2,0,0,2,1,0,25,0,0,23,12,3,0,2,0,0,6,2,1,14,6,7,1,8,10,16,27,21,1,0,0,0,0,0,20260406_211811_experimental_jo div
3,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20260303_172356_experimental_jo
4,1,7,1,8,1,2,8,19,12,17,4,4,8,7,7,1,1,0,43,37,0,0,0,4,2,24,26,22,4,0,4,11,12,2,2,0,1,2,0,8,0,0,4,2,0,0,0,0,0,0,20260303_174948_overhand_oli
5,3,0,3,1,0,0,1,3,0,1,0,0,1,1,1,1,0,0,0,13,0,0,0,0,0,16,9,20,0,0,12,0,29,0,17,18,0,0,0,0,9,11,29,18,0,0,0,0,0,1,20260316_171550_experimental_jo
6,4,0,1,1,6,0,2,12,3,7,10,0,1,4,1,2,0,0,1,1,10,5,0,7,16,0,4,4,1,7,1,11,5,1,0,0,4,1,0,7,0,1,3,2,0,0,0,0,0,0,20260303_182528_sneak_overhand_jo
7,3,4,0,0,0,0,0,5,4,4,2,4,0,11,0,1,0,0,0,0,3,38,0,0,0,2,0,1,0,0,0,5,3,0,0,0,2,0,0,7,0,1,6,6,0,0,0,0,0,0,20260303_175703_dragon_roll_jo
8,3,6,1,4,5,26,10,14,7,17,8,4,10,14,1,1,9,21,0,0,0,0,10,0,0,22,22,14,2,3,10,3,11,4,16,10,2,6,0,4,9,5,12,18,0,0,2,0,0,1,20260302_100832_underhand_default
9,4,19,3,7,4,19,24,14,12,25,10,3,9,8,6,2,16,15,2,9,0,16,2,0,2,9,5,6,5,11,14,7,7,2,9,9,2,1,1,0,11,6,18,9,0,1,0,1,0,0,20260303_171847_experimental_jo
10,2,2,2,2,1,1,3,13,0,10,1,2,3,3,0,0,0,0,2,9,0,0,31,0,0,6,2,1,0,1,9,0,14,0,1,4,10,9,2,2,6,1,19,19,0,0,0,0,0,0,20260303_180712_sneak_underhand_jo
11,1,3,2,6,8,0,19,19,16,19,6,2,5,4,2,6,0,0,42,41,10,11,1,6,8,3,7,2,7,1,2,19,9,8,0,1,2,0,0,16,1,0,6,12,0,0,0,0,0,0,20260303_174948_overhand_oli
