cluster,clockwise,counter_clockwise,dragon_roll,idle,overhand_left,overhand_right,sneak_overhand,sneak_overhand_left,sneak_overhand_right,sneak_underhand,sneak_underhand_left,sneak_underhand_right,underhand_left,underhand_right
0,0.0,0.2,0.2,0.05,0.1,0.05,0.35,0.0,0.05,0.0,0.0,0.0,0.0,0.0
1,0.0,0.45,0.0,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15
2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
3,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
4,0.0,0.5,0.0,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.1,0.0,0.2,0.0,0.15,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
6,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
7,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.15
9,0.3,0.0,0.05,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
10,0.55,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
11,0.35,0.0,0.05,0.0,0.05,0.15,0.0,0.25,0.0,0.0,0.0,0.15,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.75,0.1,0.0,0.0,0.0,0.0,0.0
